PPTYP,PPTYPT,PPGROUP,PPGROUPT,PAYPLAN,PAYPLANT,PPGRD
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-14
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,CG,CG-CORPORATE GRADED,CG-15
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-01
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-02
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-03
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-04
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-05
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-06
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-07
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-08
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-09
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-10
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-11
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-12
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-13
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-14
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,FG,FG-SIMILAR TO THE GENERAL SCHEDULE,FG-15
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-01
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-02
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-03
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-04
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-05
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-06
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-07
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-08
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-09
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-10
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-11
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-12
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-13
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-14
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-15
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GG,GG-GRADES SIMILAR TO GENERAL SCHEDULE,GG-SL
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GP,GP-GS PHYSICIANS AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C),GP-11
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GP,GP-GS PHYSICIANS AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C),GP-12
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GP,GP-GS PHYSICIANS AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C),GP-13
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GP,GP-GS PHYSICIANS AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C),GP-14
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,GP,GP-GS PHYSICIANS AND DENTISTS PAID MARKET PAY UNDER 38 U.S.C. 7431(C),GP-15
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-04
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-05
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-06
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-07
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-08
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-09
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-10
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-11
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-12
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-13
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-14
1,General Schedule and Equivalently Graded (GSEG) Pay Plans,12,Other GSEG Pay Plans,PG,PG-PRINTING OFFICE GRADES,PG-15
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM,NA-01
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM,NA-02
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM,NA-03
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM,NA-04
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM,NA-05
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM,NA-06
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NA,NA-NONAPPROPRIATED FUNDS - NONSUPERVISORY AND NONLEADER - FEDERAL WAGE SYSTEM,NA-08
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NL,NL-NONAPPROPRIATED FUNDS - LEADER - FEDERAL WAGE SYSTEM,NL-03
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NL,NL-NONAPPROPRIATED FUNDS - LEADER - FEDERAL WAGE SYSTEM,NL-04
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NL,NL-NONAPPROPRIATED FUNDS - LEADER - FEDERAL WAGE SYSTEM,NL-05
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NL,NL-NONAPPROPRIATED FUNDS - LEADER - FEDERAL WAGE SYSTEM,NL-06
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM,NS-01
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM,NS-02
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM,NS-03
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM,NS-04
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM,NS-05
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM,NS-06
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,NS,NS-NONAPPROPRIATED FUNDS - SUPERVISORY - FEDERAL WAGE SYSTEM,NS-07
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WA,"WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF ENGINEERS-SUPERVISORY, FED WAGE SYS",WA-09
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WA,"WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF ENGINEERS-SUPERVISORY, FED WAGE SYS",WA-10
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WA,"WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF ENGINEERS-SUPERVISORY, FED WAGE SYS",WA-11
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WB,WB-WAGE POSITIONS UNDER THE FEDERAL WAGE SYSTEM NOT OTHERWISE DESIGNATED,WB-00
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WB,WB-WAGE POSITIONS UNDER THE FEDERAL WAGE SYSTEM NOT OTHERWISE DESIGNATED,WB-02
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM,WD-02
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM,WD-04
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM,WD-05
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM,WD-06
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM,WD-07
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM,WD-08
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WD,WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM,WD-09
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-01
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-02
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-03
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-04
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-05
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-06
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-07
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-08
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-09
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-10
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-11
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-12
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-13
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-14
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WG,WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM,WG-15
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WJ,WJ-HOPPER DREDGE SCHEDULE--FEDERAL WAGE SYSTEM,WJ-07
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WJ,WJ-HOPPER DREDGE SCHEDULE--FEDERAL WAGE SYSTEM,WJ-08
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WJ,WJ-HOPPER DREDGE SCHEDULE--FEDERAL WAGE SYSTEM,WJ-10
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WJ,WJ-HOPPER DREDGE SCHEDULE--FEDERAL WAGE SYSTEM,WJ-15
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WK,"WK-HOPPER DREDGE SCHEDULE, NONSUPERVISORY",WK-05
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WK,"WK-HOPPER DREDGE SCHEDULE, NONSUPERVISORY",WK-06
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WK,"WK-HOPPER DREDGE SCHEDULE, NONSUPERVISORY",WK-08
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WK,"WK-HOPPER DREDGE SCHEDULE, NONSUPERVISORY",WK-10
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WK,"WK-HOPPER DREDGE SCHEDULE, NONSUPERVISORY",WK-12
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WK,"WK-HOPPER DREDGE SCHEDULE, NONSUPERVISORY",WK-13
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-02
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-03
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-04
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-05
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-06
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-07
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-08
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-09
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-10
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-11
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-12
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-13
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WL,WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM,WL-14
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WN,WN-PRODUCTION FACILITATING SUPERVISORY FEDERAL WAGE SYSTEM,WN-07
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WO,WO-NAVIGATIONAL LOCK AND DAM OPERATION AND MAINTENANCE POSITIONS IN THE U.S. ARMY CORPS OF ENGINEERS - LEADER - F,WO-08
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WO,WO-NAVIGATIONAL LOCK AND DAM OPERATION AND MAINTENANCE POSITIONS IN THE U.S. ARMY CORPS OF ENGINEERS - LEADER - F,WO-10
2,Prevailing Rate Pay Plans (Blue Collar),21,Federal Wage System Pay Plans,WO,WO-NAVIGATIONAL LOCK AND DAM OPERATION AND MAINTENANCE POSITIONS IN THE U.S. ARMY CORPS OF ENGINEERS - LEADER - F,WO-11
