agency_name,separation,Trump_Separations
AF2K-AIR FORCE HISTORICAL RESEARCH AGENCY,Transfer Out - Individual Transfer,0
AF2L-AIR FORCE TECHNICAL APPLICATIONS CENTER,Transfer Out - Individual Transfer,3
AF2M-AIR FORCE REVIEW BOARDS AGENCY,Transfer Out - Individual Transfer,0
AF2Q-AIR WEATHER SERVICE,Transfer Out - Individual Transfer,0
AF2R-AIR FORCE PROGRAM EXECUTIVE OFFICE,Transfer Out - Individual Transfer,1
AF2S-AIR FORCE ELEMENTS NORAD,Transfer Out - Individual Transfer,0
AF2T-AIR FORCE SAFETY CENTER,Transfer Out - Individual Transfer,0
"AF2U-AIR FORCE MORALE, WELFARE AND RECREATION CENTER",Transfer Out - Individual Transfer,0
AF2Z-AIR FORCE MEDICAL OPERATIONS AGENCY,Transfer Out - Individual Transfer,12
AF34-AIR NATIONAL GUARD,Transfer Out - Individual Transfer,9
"AF3C-AIR FORCE ELEMENTS, U.S. CENTRAL COMMAND",Transfer Out - Individual Transfer,2
"AF3D-AIR FORCE ELEMENTS, U.S. SPECIAL OPERATIONS COMMAND",Transfer Out - Individual Transfer,9
"AF3N-AIR FORCE ELEMENTS, U.S. ATLANTIC COMMAND",Transfer Out - Individual Transfer,0
"AF3Q-AIR FORCE ELEMENTS, U.S. STRATEGIC COMMAND",Transfer Out - Individual Transfer,13
"AF3T-AIR FORCE ELEMENTS, U.S. TRANSPORTATION COMMAND",Transfer Out - Individual Transfer,7
AF3V-AIR FORCE ELEMENTS,Transfer Out - Individual Transfer,5
AF3W-AIR FORCE CENTER FOR ENGINEER & ENVIRONMENT,Transfer Out - Individual Transfer,0
AF40-NATIONAL AIR AND SPACE INTELLIGENCE CENTER,Transfer Out - Individual Transfer,4
"AF4D-AIR FORCE ELEMENTS, U.S. NORTHERN COMMAND",Transfer Out - Individual Transfer,5
AF4V-NON-DOD AND OTHER SUPPORT,Transfer Out - Individual Transfer,0
AF4W-AIR FORCE DISTRICT OF WASHINGTON,Transfer Out - Individual Transfer,21
AF5J-AIR FORCE FINANCIAL SERVICES,Transfer Out - Individual Transfer,0
AF5K-AIR FORCE PETROLEUM AGENCY,Transfer Out - Individual Transfer,0
AFGS-AIR FORCE GLOBAL STRIKE COMMAND,Transfer Out - Individual Transfer,30
AFNG-AIR NATIONAL GUARD UNITS (TITLE 32),Transfer Out - Individual Transfer,116
"AFZG-U.S. SPECIAL OPERATIONS COMMAND (ANG, TITLE 32)",Transfer Out - Individual Transfer,2
AG01-OFFICE OF THE SECRETARY OF AGRICULTURE,Transfer Out - Individual Transfer,1
AG02-AGRICULTURAL MARKETING SERVICE,Transfer Out - Individual Transfer,8
AG03-AGRICULTURAL RESEARCH SERVICE,Transfer Out - Individual Transfer,24
AG07-RURAL HOUSING SERVICE,Transfer Out - Individual Transfer,18
AG08-RISK MANAGEMENT AGENCY,Transfer Out - Individual Transfer,5
AG10-FOREIGN AGRICULTURAL SERVICE,Transfer Out - Individual Transfer,6
AG11-FOREST SERVICE,Transfer Out - Individual Transfer,232
AG13-OFFICE OF COMMUNICATIONS,Transfer Out - Individual Transfer,1
AG14-OFFICE OF THE GENERAL COUNSEL,Transfer Out - Individual Transfer,3
AG15-RURAL UTILITIES SERVICE,Transfer Out - Individual Transfer,2
AG16-NATURAL RESOURCES CONSERVATION SERVICE,Transfer Out - Individual Transfer,33
AG18-ECONOMIC RESEARCH SERVICE,Transfer Out - Individual Transfer,2
AG20-NATIONAL AGRICULTURAL STATISTICS SERVICE,Transfer Out - Individual Transfer,4
AG22-NATIONAL INSTITUTE OF FOOD AND AGRICULTURE,Transfer Out - Individual Transfer,8
AG23-OFFICE OF THE INSPECTOR GENERAL,Transfer Out - Individual Transfer,4
AG30-FOOD AND NUTRITION SERVICE,Transfer Out - Individual Transfer,15
AG32-RURAL BUSINESS-COOPERATIVE SERVICE,Transfer Out - Individual Transfer,0
AG34-ANIMAL AND PLANT HEALTH INSPECTION SERVICE,Transfer Out - Individual Transfer,33
"AG36-GRAIN INSPECTION, PACKERS AND STOCKYARDS ADMINISTRATION",Transfer Out - Individual Transfer,8
AG37-FOOD SAFETY AND INSPECTION SERVICE,Transfer Out - Individual Transfer,32
AG38-OFFICE OF THE CHIEF ECONOMIST,Transfer Out - Individual Transfer,0
AG42-OFFICE OF BUDGET AND PROGRAM ANALYSIS,Transfer Out - Individual Transfer,0
AG90-OFFICE OF THE CHIEF FINANCIAL OFFICER,Transfer Out - Individual Transfer,16
AGAO-OFFICE OF ADVOCACY AND OUTREACH,Transfer Out - Individual Transfer,0
AGCR-CIVIL RIGHTS,Transfer Out - Individual Transfer,1
AGDA-DEPARTMENTAL ADMINISTRATION,Transfer Out - Individual Transfer,3
AGES-OFFICE OF THE EXECUTIVE SECRETARIAT,Transfer Out - Individual Transfer,2
AGFA-FARM SERVICE AGENCY,Transfer Out - Individual Transfer,18
AGHL-HOMELAND SECURITY STAFF,Transfer Out - Individual Transfer,1
AGIT-OFFICE OF THE CHIEF INFORMATION OFFICER,Transfer Out - Individual Transfer,10
AGNA-NATIONAL APPEALS DIVISION,Transfer Out - Individual Transfer,0
AH01-NATIONAL ENDOWMENT FOR THE ARTS,Transfer Out - Individual Transfer,3
AH02-NATIONAL ENDOWMENT FOR THE HUMANITIES,Transfer Out - Individual Transfer,0
AH03-INSTITUTE OF MUSEUM AND LIBRARY SERVICES,Transfer Out - Individual Transfer,3
AM00-AGENCY FOR INTERNATIONAL DEVELOPMENT,Transfer Out - Individual Transfer,32
AN00-AFRICAN DEVELOPMENT FOUNDATION,Transfer Out - Individual Transfer,1
AP00-APPALACHIAN REGIONAL COMMISSION,Transfer Out - Individual Transfer,0
AR2A-UNITED STATES ARMY CYBER COMMAND,Transfer Out - Individual Transfer,7
AR3A-U.S. ARMY CENTRAL,Transfer Out - Individual Transfer,4
AR5A-U.S. ARMY NORTH,Transfer Out - Individual Transfer,2
ARA1-US ARMY AFRICA/SOUTHERN EUROPEAN TASK FORCE (USAFRAF/SETAF),Transfer Out - Individual Transfer,3
ARAA-U. S. ARMY ACCESSION COMMAND,Transfer Out - Individual Transfer,0
ARAE-U.S. ARMY ACQUISITION SUPPORT CENTER,Transfer Out - Individual Transfer,33
ARAN-U.S. ARMY NATIONAL MILITARY CEMETERIES,Transfer Out - Individual Transfer,4
ARAP-U. S. MILITARY ENTRANCE PROCESSING COMMAND,Transfer Out - Individual Transfer,37
ARAS-U.S. ARMY INTELLIGENCE AND SECURITY COMMAND,Transfer Out - Individual Transfer,27
ARAT-U.S. ARMY TEST AND EVALUATION COMMAND,Transfer Out - Individual Transfer,20
ARBA-U.S. ARMY INSTALLATION MANAGEMENT COMMAND,Transfer Out - Individual Transfer,324
ARCB-U.S. ARMY CRIMINAL INVESTIGATION COMMAND,Transfer Out - Individual Transfer,11
ARCE-U.S. ARMY CORPS OF ENGINEERS,Transfer Out - Individual Transfer,258
ARCS-IMMEDIATE OFFICE OF THE CHIEF OF STAFF OF THE ARMY,Transfer Out - Individual Transfer,24
ARE1-IMMEDIATE OFFICE OF THE COMMANDER-IN-CHIEF OF THE U.S. ARMY EUROPE AND SEVENTH ARMY,Transfer Out - Individual Transfer,23
ARE2-21ST THEATER ARMY AREA COMMAND,Transfer Out - Individual Transfer,8
ARE5-U.S. ARMY V CORPS,Transfer Out - Individual Transfer,0
AREN-SEVENTH ARMY TRAINING COMMAND,Transfer Out - Individual Transfer,2
ARFC-U.S. ARMY FORCES COMMAND,Transfer Out - Individual Transfer,22
ARG6-U.S. ARMY NETWORK ENTERPRISE TECHNOLOGY COMMAND/9TH ARMY SIGNAL COMMAND,Transfer Out - Individual Transfer,74
ARGB-OFFICE OF THE CHIEF OF THE NATIONAL GUARD BUREAU,Transfer Out - Individual Transfer,18
ARHR-U.S. ARMY RESERVE COMMAND,Transfer Out - Individual Transfer,74
ARJ1-U.S. ARMY ELEMENT SHAPE,Transfer Out - Individual Transfer,8
ARJA-JOINT ACTIVITIES,Transfer Out - Individual Transfer,42
ARMA-U.S. MILITARY ACADEMY,Transfer Out - Individual Transfer,4
ARMC-U.S. ARMY MEDICAL COMMAND,Transfer Out - Individual Transfer,483
ARMW-U.S. ARMY MILITARY DISTRICT OF WASHINGTON,Transfer Out - Individual Transfer,8
ARNG-ARMY NATIONAL GUARD UNITS (TITLE 32),Transfer Out - Individual Transfer,118
"ARP1-U.S. ARMY, PACIFIC",Transfer Out - Individual Transfer,16
ARP8-EIGHTH U.S. ARMY,Transfer Out - Individual Transfer,0
ARSA-OFFICE OF THE SECRETARY OF THE ARMY,Transfer Out - Individual Transfer,14
ARSB-FIELD OPERATING OFFICES OF THE OFFICE OF THE SECRETARY OF THE ARMY,Transfer Out - Individual Transfer,24
ARSC-U. S. ARMY SPACE AND MISSILE DEFENSE COMMAND/U. S. ARMY FORCES STRATEGIC COMMAND,Transfer Out - Individual Transfer,8
ARSE-HQDA FIELD OPERATING AGENCIES AND STAFF SUPPORT AGENCIES AND STAFF SUPPORT AGENCIES,Transfer Out - Individual Transfer,88
ARSF-MISCELLANEOUS FIELD OPERATING AGENCIES,Transfer Out - Individual Transfer,0
"ARSJ-JOINT SERVICES AND ACTIVITIES SUPPORTED BY THE OFFICE, SECRETARY OF THE ARMY",Transfer Out - Individual Transfer,25
ARSO-U.S. ARMY SOUTH,Transfer Out - Individual Transfer,1
ARSP-U.S. SPECIAL OPERATIONS COMMAND (ARMY),Transfer Out - Individual Transfer,12
ARTA-U.S. ARMY ACCESSIONS COMMAND,Transfer Out - Individual Transfer,24
ARTC-U.S. ARMY TRAINING AND DOCTRINE COMMAND,Transfer Out - Individual Transfer,25
ARTW-U.S. ARMY WAR COLLEGE,Transfer Out - Individual Transfer,1
ARX1-414TH SUPPORT BRIGADE,Transfer Out - Individual Transfer,2
"ARX2-HEADQUARTERS, AMC",Transfer Out - Individual Transfer,2
"ARX4-TRAINING ACTIVITIES, AMC",Transfer Out - Individual Transfer,0
ARX6-U.S. ARMY AVIATION AND MISSILE COMMAND,Transfer Out - Individual Transfer,29
ARX7-U.S. ARMY TANK-AUTOMOTIVE AND ARMAMENT COMMAND (TACOM),Transfer Out - Individual Transfer,17
ARX8-U.S. ARMY COMMUNICATIONS ELECTRONICS COMMAND,Transfer Out - Individual Transfer,28
ARXB-U.S. ARMY CHEMICAL MATERIALS ACTIVITY,Transfer Out - Individual Transfer,2
ARXC-U.S. ARMY SUSTAINMENT COMMAND,Transfer Out - Individual Transfer,28
ARXD-U. S. ARMY CONTRACTING COMMAND,Transfer Out - Individual Transfer,56
ARXK-MATERIEL ACQUISITION ACTIVITIES,Transfer Out - Individual Transfer,3
ARXP-U.S. ARMY SECURITY ASSISTANCE COMMAND,Transfer Out - Individual Transfer,7
ARXQ-U.S. ARMY JOINT MUNITIONS COMMAND,Transfer Out - Individual Transfer,9
"ARXR-U.S. ARMY RESEARCH, DEVELOPMENT AND ENGINEERING COMMAND",Transfer Out - Individual Transfer,33
ARXT-U.S. ARMY MILITARY SURFACE DEPLOYMENT AND DISTRIBUTION COMMAND,Transfer Out - Individual Transfer,16
ARXX-MATERIEL READINESS ACTIVITIES,Transfer Out - Individual Transfer,1
AU00-FEDERAL LABOR RELATIONS AUTHORITY,Transfer Out - Individual Transfer,7
AW00-ARCTIC RESEARCH COMMISSION,Transfer Out - Individual Transfer,0
BD00-MERIT SYSTEMS PROTECTION BOARD,Transfer Out - Individual Transfer,5
BF00-DEFENSE NUCLEAR FACILITIES SAFETY BOARD,Transfer Out - Individual Transfer,4
BG00-PENSION BENEFIT GUARANTY CORPORATION,Transfer Out - Individual Transfer,20
BH00-COMMISSION FOR THE PRESERVATION OF AMERICA'S HERITAGE ABROAD,Transfer Out - Individual Transfer,0
BK00-JAMES MADISON MEMORIAL FELLOWSHIP FOUNDATION,Transfer Out - Individual Transfer,0
BO00-OFFICE OF MANAGEMENT AND BUDGET,Transfer Out - Individual Transfer,6
BT00-ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,Transfer Out - Individual Transfer,0
BW00-NUCLEAR WASTE TECHNICAL REVIEW BOARD,Transfer Out - Individual Transfer,0
BZ00-CHRISTOPHER COLUMBUS FELLOWSHIP FOUNDATION,Transfer Out - Individual Transfer,0
CC00-COMMISSION ON CIVIL RIGHTS,Transfer Out - Individual Transfer,0
CE00-COUNCIL OF ECONOMIC ADVISERS,Transfer Out - Individual Transfer,1
CF00-COMMISSION OF FINE ARTS,Transfer Out - Individual Transfer,0
CM51-OFFICE OF THE SECRETARY,Transfer Out - Individual Transfer,16
CM52-ECONOMIC DEVELOPMENT ADMINISTRATION,Transfer Out - Individual Transfer,1
CM53-BUREAU OF ECONOMIC ANALYSIS,Transfer Out - Individual Transfer,9
CM54-NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,Transfer Out - Individual Transfer,67
CM55-INTERNATIONAL TRADE ADMINISTRATION,Transfer Out - Individual Transfer,8
CM56-PATENT AND TRADEMARK OFFICE,Transfer Out - Individual Transfer,20
CM57-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,Transfer Out - Individual Transfer,35
CM59-MINORITY BUSINESS DEVELOPMENT AGENCY,Transfer Out - Individual Transfer,1
CM61-NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION,Transfer Out - Individual Transfer,10
CM62-NATIONAL TECHNICAL INFORMATION SERVICE,Transfer Out - Individual Transfer,3
CM63-BUREAU OF THE CENSUS,Transfer Out - Individual Transfer,58
CM64-OFFICE OF THE INSPECTOR GENERAL,Transfer Out - Individual Transfer,15
CM65-ECONOMICS AND STATISTICS ADMINISTRATION,Transfer Out - Individual Transfer,1
CM67-BUREAU OF INDUSTRY AND SECURITY,Transfer Out - Individual Transfer,2
CT00-COMMODITY FUTURES TRADING COMMISSION,Transfer Out - Individual Transfer,6
CU00-NATIONAL CREDIT UNION ADMINISTRATION,Transfer Out - Individual Transfer,2
DB00-PUBLIC INTEREST DECLASSIFICATION BOARD,Transfer Out - Individual Transfer,0
DD01-OFFICE OF THE SECRETARY OF DEFENSE,Transfer Out - Individual Transfer,20
DD02-ORGANIZATION OF THE JOINT CHIEFS OF STAFF,Transfer Out - Individual Transfer,7
DD04-DEFENSE INFORMATION SYSTEMS AGENCY,Transfer Out - Individual Transfer,109
DD06-DEFENSE SECURITY COOPERATION AGENCY,Transfer Out - Individual Transfer,11
DD07-DEFENSE LOGISTICS AGENCY,Transfer Out - Individual Transfer,251
DD08-U.S. COURT OF APPEALS FOR THE ARMED FORCES,Transfer Out - Individual Transfer,0
DD10-DEFENSE CONTRACT AUDIT AGENCY,Transfer Out - Individual Transfer,54
DD12-DEFENSE SECURITY SERVICE,Transfer Out - Individual Transfer,23
DD13-DEFENSE ADVANCED RESEARCH PROJECTS AGENCY,Transfer Out - Individual Transfer,1
DD15-UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES,Transfer Out - Individual Transfer,9
DD16-DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,Transfer Out - Individual Transfer,64
DD21-WASHINGTON HEADQUARTERS SERVICES,Transfer Out - Individual Transfer,34
DD23-OFFICE OF ECONOMIC ADJUSTMENT,Transfer Out - Individual Transfer,2
DD25-DEFENSE LEGAL SERVICES AGENCY,Transfer Out - Individual Transfer,0
DD26-OFFICE OF THE INSPECTOR GENERAL,Transfer Out - Individual Transfer,33
DD27-MISSILE DEFENSE AGENCY,Transfer Out - Individual Transfer,20
DD29-DEFENSE TECHNOLOGY SECURITY ADMINISTRATION,Transfer Out - Individual Transfer,0
DD34-DEFENSE COMMISSARY AGENCY,Transfer Out - Individual Transfer,159
DD35-DEFENSE FINANCE AND ACCOUNTING SERVICE,Transfer Out - Individual Transfer,117
DD48-DEFENSE HUMAN RESOURCES ACTIVITY,Transfer Out - Individual Transfer,22
DD53-DEFENSE POW/MIA ACCOUNTING AGENCY,Transfer Out - Individual Transfer,3
DD58-DEFENSE PRISONER OF WAR/MISSING PERSONNEL OFFICE,Transfer Out - Individual Transfer,0
DD60-DEFENSE HEALTH AGENCY,Transfer Out - Individual Transfer,74
DD61-DEFENSE THREAT REDUCTION AGENCY,Transfer Out - Individual Transfer,18
DD63-DEFENSE CONTRACT MANAGEMENT AGENCY,Transfer Out - Individual Transfer,124
DD65-PENTAGON FORCE PROTECTION AGENCY,Transfer Out - Individual Transfer,25
DD68-DEPARTMENT OF DEFENSE TEST RESOURCE MANAGEMENT CENTER,Transfer Out - Individual Transfer,0
DD69-NATIONAL DEFENSE UNIVERSITY,Transfer Out - Individual Transfer,6
DD71-DEFENSE MICROELECTRONICS ACTIVITY,Transfer Out - Individual Transfer,2
DD74-DEFENSE TECHNICAL INFORMATION CENTER,Transfer Out - Individual Transfer,6
DD77-BUSINESS TRANSFORMATION AGENCY,Transfer Out - Individual Transfer,0
DD80-DEFENSE MEDIA ACTIVITY,Transfer Out - Individual Transfer,11
DD81-DEFENSE ACQUISITION UNIVERSITY,Transfer Out - Individual Transfer,2
DD82-NATIONAL RECONNAISSANCE OFFICE,Transfer Out - Individual Transfer,2
DF00-OFFICE OF THE FEDERAL COORDINATOR FOR ALASKA NATURAL GAS TRANSPORTATION PROJECTS,Transfer Out - Individual Transfer,0
DG00-NORTHERN BORDER REGIONAL COMMISSION,Transfer Out - Individual Transfer,0
"DJ01-OFFICES, BOARDS AND DIVISIONS",Transfer Out - Individual Transfer,87
DJ02-FEDERAL BUREAU OF INVESTIGATION,Transfer Out - Individual Transfer,54
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,Transfer Out - Individual Transfer,151
DJ06-DRUG ENFORCEMENT ADMINISTRATION,Transfer Out - Individual Transfer,26
DJ07-OFFICE OF JUSTICE PROGRAMS,Transfer Out - Individual Transfer,12
DJ08-U.S. MARSHALS SERVICE,Transfer Out - Individual Transfer,22
DJ09-EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS,Transfer Out - Individual Transfer,73
DJ10-OFFICE OF THE INSPECTOR GENERAL,Transfer Out - Individual Transfer,11
DJ11-U.S. TRUSTEE PROGRAM,Transfer Out - Individual Transfer,3
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,Transfer Out - Individual Transfer,14
DJ14-COMMUNITY RELATIONS SERVICE,Transfer Out - Individual Transfer,2
"DJ15-BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES",Transfer Out - Individual Transfer,14
DLAA-OFFICE OF THE SECRETARY OF LABOR,Transfer Out - Individual Transfer,1
DLAM-OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT,Transfer Out - Individual Transfer,11
DLBL-BUREAU OF INTERNATIONAL LABOR AFFAIRS,Transfer Out - Individual Transfer,1
DLCA-OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS,Transfer Out - Individual Transfer,0
DLCF-OFFICE OF THE CHIEF FINANCIAL OFFICER,Transfer Out - Individual Transfer,6
DLEH-OFFICE OF DISABILITY EMPLOYMENT POLICY,Transfer Out - Individual Transfer,0
DLES-EMPLOYMENT STANDARDS ADMINISTRATION,Transfer Out - Individual Transfer,0
DLET-EMPLOYMENT AND TRAINING ADMINISTRATION,Transfer Out - Individual Transfer,12
DLIG-OFFICE OF THE INSPECTOR GENERAL,Transfer Out - Individual Transfer,5
DLLS-BUREAU OF LABOR STATISTICS,Transfer Out - Individual Transfer,28
DLMS-MINE SAFETY AND HEALTH ADMINISTRATION,Transfer Out - Individual Transfer,11
DLOF-OFFICE OF FEDERAL CONTRACT COMPLIANCE PROGRAMS,Transfer Out - Individual Transfer,1
DLOL-OFFICE OF LABOR-MANAGEMENT STANDARDS,Transfer Out - Individual Transfer,4
DLOW-OFFICE OF WORKERS' COMPENSATION PROGRAMS,Transfer Out - Individual Transfer,14
DLPA-OFFICE OF PUBLIC AFFAIRS,Transfer Out - Individual Transfer,0
DLPE-OFFICE OF THE ASSISTANT SECRETARY FOR POLICY,Transfer Out - Individual Transfer,0
DLPW-EMPLOYEE BENEFITS SECURITY ADMINISTRATION,Transfer Out - Individual Transfer,7
DLSH-OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,Transfer Out - Individual Transfer,23
DLSL-OFFICE OF THE SOLICITOR,Transfer Out - Individual Transfer,9
DLVE-VETERANS EMPLOYMENT AND TRAINING SERVICES,Transfer Out - Individual Transfer,3
DLWB-WOMEN'S BUREAU,Transfer Out - Individual Transfer,4
DLWH-WAGE AND HOUR DIVISION,Transfer Out - Individual Transfer,18
DN00-DEPARTMENT OF ENERGY,Transfer Out - Individual Transfer,112
DNFE-FEDERAL ENERGY REGULATORY COMMISSION,Transfer Out - Individual Transfer,7
DQ00-DENALI COMMISSION,Transfer Out - Individual Transfer,0
EB00-EXPORT-IMPORT BANK OF THE UNITED STATES,Transfer Out - Individual Transfer,7
EC00-OFFICE OF ADMINISTRATION,Transfer Out - Individual Transfer,11
EDEA-IMMEDIATE OFFICE OF THE SECRETARY OF EDUCATION,Transfer Out - Individual Transfer,1
EDEB-OFFICE OF THE DUTY SECRETARY OF EDUCATION,Transfer Out - Individual Transfer,1
EDEC-OFFICE FOR CIVIL RIGHTS,Transfer Out - Individual Transfer,3
"EDED-OFFICE OF PLANNING, EVALUATION AND POLICY DEVELOPMENT",Transfer Out - Individual Transfer,1
EDEE-OFFICE OF THE UNDER SECRETARY,Transfer Out - Individual Transfer,0
EDEF-OFFICE OF INSPECTOR GENERAL,Transfer Out - Individual Transfer,3
EDEG-OFFICE OF THE GENERAL COUNSEL,Transfer Out - Individual Transfer,2
EDEH-OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES,Transfer Out - Individual Transfer,0
EDEI-OFFICE OF THE CHIEF INFORMATION OFFICER,Transfer Out - Individual Transfer,1
EDEJ-OFFICE OF LEGISLATION AND CONGRESSIONAL AFFAIRS,Transfer Out - Individual Transfer,0
EDEL-OFFICE OF THE CHIEF FINANCIAL OFFICER,Transfer Out - Individual Transfer,5
EDEM-OFFICE OF MANAGEMENT,Transfer Out - Individual Transfer,9
EDEN-FEDERAL STUDENT AID,Transfer Out - Individual Transfer,18
EDEO-OFFICE OF COMMUNICATIONS AND OUTREACH,Transfer Out - Individual Transfer,0
EDEP-OFFICE OF POSTSECONDARY EDUCATION,Transfer Out - Individual Transfer,1
EDEQ-OFFICE OF SAFE AND DRUG-FREE SCHOOLS,Transfer Out - Individual Transfer,0
EDER-INSTITUTE OF EDUCATION SCIENCES,Transfer Out - Individual Transfer,1
EDES-OFFICE OF ELEMENTARY AND SECONDARY EDUCATION,Transfer Out - Individual Transfer,3
EDET-OFFICE OF ENGLISH LANGUAGE ACQUISITION,Transfer Out - Individual Transfer,0
EDEU-OFFICE OF INNOVATION AND IMPROVEMENT,Transfer Out - Individual Transfer,0
EDEV-OFFICE OF VOCATIONAL AND ADULT EDUCATION,Transfer Out - Individual Transfer,0
EDEY-ADVISORY COUNCILS AND COMMITTEES,Transfer Out - Individual Transfer,0
EDEZ-NATIONAL ASSESSMENT GOVERNING BOARD,Transfer Out - Individual Transfer,0
EE00-EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,Transfer Out - Individual Transfer,38
EO00-MORRIS K. UDALL AND STEWART L. UDALL FOUNDATION,Transfer Out - Individual Transfer,0
EP00-ENVIRONMENTAL PROTECTION AGENCY,Transfer Out - Individual Transfer,75
EQ00-COUNCIL ON ENVIRONMENTAL QUALITY/OFFICE OF ENVIRONMENTAL QUALITY,Transfer Out - Individual Transfer,1
EW00-TRADE AND DEVELOPMENT AGENCY,Transfer Out - Individual Transfer,0
FC00-FEDERAL COMMUNICATIONS COMMISSION,Transfer Out - Individual Transfer,5
